TABLE_NAME;DOSSIERNUMMER;AANVRAGER;REGELINGNAAM;BELEIDSTERREIN;ORGANISATIEONDERDEEL;PROJECT_NAAM;TYPE_PERIODICITEIT;BEDRAG_AANGEVRAAGD;BEDRAG_VERLEEND;BEDRAG_VASTGESTELD;SUBSIDIEJAAR;DATUM_OVERZICHT
SB_MI_SUBSIDIEREGISTER;SBA-004732;Stichting Montessori Scholengemeenschap Amsterdam;Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;lerarenbeurs;Eenmalig;78113.00;77213.00;76683.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-005186;Stichting Montessori Scholengemeenschap Amsterdam;Onderwijsvoorzieningen primair onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Nieuwe Opleidingsschool Amsterdam;Eenmalig;124150.00;124150.00;72420.83;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008098;Stichting Montessori Scholengemeenschap Amsterdam;Voorziening ouderbetrokkenheid in het voortgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;versterken ouderbetrokkenheod;Eenmalig;9900.00;9900.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008284;Stichting Montessori Scholengemeenschap Amsterdam;Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Amsterdamse lerarenbeurs PO/VO: MSA;Eenmalig;70357.50;68357.50;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-007753;Stichting Montessori Scholengemeenschap Amsterdam;Onderwijshuisvesting (VloA);Onderwijs;Onderwijs, Jeugd en Zorg;Onderhoud en Aanpassingen aan BMI en Alarminstallaties op de MSA scholen;Eenmalig;132935.35;86049.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008915;Stichting Montessori Scholengemeenschap Amsterdam;Subsidieregeling internationalisering van het primair en voortgezet (speciaal) onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;internationalisering;Eenmalig;24800.00;24800.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008238;Stg voor Voortgezet Vrijeschool onderwijs VO;Onderwijshuisvesting (VloA);Onderwijs;Onderwijs, Jeugd en Zorg;VloA aanpassing oh alarm en brand;Eenmalig;34172.00;29012.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008463;Stg voor Voortgezet Vrijeschool onderwijs VO;Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Lerarenbeurs;Eenmalig;9766.79;9766.79;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003959;Stg voor Voortgezet Vrijeschool onderwijs VO;Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Beter leren begeleiden;Eenmalig;4000.00;4000.00;2000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003934;Stg voor Voortgezet Vrijeschool onderwijs VO;Subsidie Amsterdamse Scholenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Focus op activerende didactiek en differentiatie bij de cognitieve vakken.;Eenmalig;74700.00;74700.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003942;Stichting VondelCS;Nadere regels subsidie Kunst Cultuur West;Cultuur;stadsdeel West;Torenkamerfestival 2016;Eenmalig;3500.00;3500.00;3500.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003947;NV Zeedijk;Subsidieregeling wonen boven bedrijven stadsdeel Amsterdam-Centrum;Stedelijke ontwikkeling en wonen;stadsdeel Centrum;Creëren van 2 woningen.;Eenmalig;50000.00;50000.00;50000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003951;Bronco B.V.;Subsidieregeling voor de aanschaf van elektrische voertuigen voor zakelijk gebruik in Amsterdam;Ruimte en Duurzaamheid;Ruimte en Duurzaamheid;Elektrische auto Tesla model X;Eenmalig;5000.00;.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003960;CTcue;Subsidieregeling voor de aanschaf van elektrische voertuigen voor zakelijk gebruik in Amsterdam;Ruimte en Duurzaamheid;Ruimte en Duurzaamheid;aanschaf elektrische auto;Eenmalig;5000.00;5000.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003972;THC Hurley;Bijzondere Subsidieverordening voor (aanpassingen aan) verenigingsaccommodaties;Sport;Sport en Bos;Werkzaamheden aan de hockeyvelden;Eenmalig;263333.00;263333.00;263333.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003980;Stichting Openbaar Voortgezet Onderwijs Pogresso (SOVOP);Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Calandlyceum;Eenmalig;5900.00;5900.00;5900.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003986;Stichting Openbaar Voortgezet Onderwijs Pogresso (SOVOP);Subsidie Amsterdamse Scholenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Caland 2;Eenmalig;100000.00;75000.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004197;Stichting Openbaar Voortgezet Onderwijs Pogresso (SOVOP);Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Calandlyceum, ontwikkeling Dalton;Eenmalig;73125.00;73125.00;73125.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008475;Stichting Openbaar Voortgezet Onderwijs Pogresso (SOVOP);Eenmalige Initiatieven OJZ;Algemeen;Onderwijs, Jeugd en Zorg;ONDERBOUWING AANVRAAG MIDDELEN EXTRA CONCIËRGE LUMION;Eenmalig;50000.00;50000.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-007783;Stichting Openbaar Voortgezet Onderwijs Pogresso (SOVOP);Voorziening ouderbetrokkenheid in het voortgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Ouderbetrokkenheid in het VO - gezinscoaching en thema-avonden op het Calandlyceum;Eenmalig;10000.00;10000.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-007778;Stichting Openbaar Voortgezet Onderwijs Pogresso (SOVOP);Onderwijshuisvesting (VloA);Onderwijs;Onderwijs, Jeugd en Zorg; Onderhoud brandpreventie en ontruiming;Periodiek;22151.00;3497.00;3497.00;2017;2018-05-02 01:00:11.660
